
YEAR_or_SEASON,StateName,VirusType,NumberOfCases
2011,District of Columbia,Influenza A H1N1v,0
2011,District of Columbia,Influenza A H1N2v,0
2011,District of Columbia,Influenza A H3N2v,0
2011,District of Columbia,Influenza A H7N2,0
2011,Delaware,Influenza A H1N1v,0
2011,Delaware,Influenza A H1N2v,0
2011,Delaware,Influenza A H3N2v,0
2011,Delaware,Influenza A H7N2,0
2011,Georgia,Influenza A H1N1v,0
2011,Georgia,Influenza A H1N2v,0
2011,Georgia,Influenza A H3N2v,0
2011,Georgia,Influenza A H7N2,0
2011,Hawaii,Influenza A H1N1v,0
2011,Hawaii,Influenza A H1N2v,0
2011,Hawaii,Influenza A H3N2v,0
2011,Hawaii,Influenza A H7N2,0
2011,Iowa,Influenza A H1N1v,0
2011,Iowa,Influenza A H1N2v,0
2011,Iowa,Influenza A H3N2v,3
2011,Iowa,Influenza A H7N2,0
2011,Idaho,Influenza A H1N1v,0
2011,Idaho,Influenza A H1N2v,0
2011,Idaho,Influenza A H3N2v,0
2011,Idaho,Influenza A H7N2,0
2011,Illinois,Influenza A H1N1v,0
2011,Illinois,Influenza A H1N2v,0
2011,Illinois,Influenza A H3N2v,0
2011,Illinois,Influenza A H7N2,0
2011,Florida,Influenza A H1N1v,0
2011,Florida,Influenza A H1N2v,0
2011,Florida,Influenza A H3N2v,0
2011,Florida,Influenza A H7N2,0
2011,Indiana,Influenza A H1N1v,0
2011,Indiana,Influenza A H1N2v,0
2011,Indiana,Influenza A H3N2v,2
2011,Indiana,Influenza A H7N2,0
2011,Maryland,Influenza A H1N1v,0
2011,Maryland,Influenza A H1N2v,0
2011,Maryland,Influenza A H3N2v,0
2011,Maryland,Influenza A H7N2,0
2011,Maine,Influenza A H1N1v,0
2011,Maine,Influenza A H1N2v,0
2011,Maine,Influenza A H3N2v,2
2011,Maine,Influenza A H7N2,0
2011,Michigan,Influenza A H1N1v,0
2011,Michigan,Influenza A H1N2v,0
2011,Michigan,Influenza A H3N2v,0
2011,Michigan,Influenza A H7N2,0
2011,Minnesota,Influenza A H1N1v,0
2011,Minnesota,Influenza A H1N2v,1
2011,Minnesota,Influenza A H3N2v,0
2011,Minnesota,Influenza A H7N2,0
2011,Missouri,Influenza A H1N1v,0
2011,Missouri,Influenza A H1N2v,0
2011,Missouri,Influenza A H3N2v,0
2011,Missouri,Influenza A H7N2,0
2011,Mississippi,Influenza A H1N1v,0
2011,Mississippi,Influenza A H1N2v,0
2011,Mississippi,Influenza A H3N2v,0
2011,Mississippi,Influenza A H7N2,0
2011,Montana,Influenza A H1N1v,0
2011,Montana,Influenza A H1N2v,0
2011,Montana,Influenza A H3N2v,0
2011,Montana,Influenza A H7N2,0
2011,North Carolina,Influenza A H1N1v,0
2011,North Carolina,Influenza A H1N2v,0
2011,North Carolina,Influenza A H3N2v,0
2011,North Carolina,Influenza A H7N2,0
2011,North Dakota,Influenza A H1N1v,0
2011,North Dakota,Influenza A H1N2v,0
2011,North Dakota,Influenza A H3N2v,0
2011,North Dakota,Influenza A H7N2,0
2011,Nebraska,Influenza A H1N1v,0
2011,Nebraska,Influenza A H1N2v,0
2011,Nebraska,Influenza A H3N2v,0
2011,Nebraska,Influenza A H7N2,0
2011,New Hampshire,Influenza A H1N1v,0
2011,New Hampshire,Influenza A H1N2v,0
2011,New Hampshire,Influenza A H3N2v,0
2011,New Hampshire,Influenza A H7N2,0
2011,Massachusetts,Influenza A H1N2v,0
2011,Massachusetts,Influenza A H3N2v,0
2011,Massachusetts,Influenza A H7N2,0
2011,New Jersey,Influenza A H1N1v,0
2011,New Jersey,Influenza A H1N2v,0
2011,New Jersey,Influenza A H3N2v,0
2011,New Jersey,Influenza A H7N2,0
2011,Kansas,Influenza A H1N1v,0
2011,Kansas,Influenza A H1N2v,0
2011,Kansas,Influenza A H3N2v,0
2011,Kansas,Influenza A H7N2,0
2011,Kentucky,Influenza A H1N1v,0
2011,Kentucky,Influenza A H1N2v,0
2011,Kentucky,Influenza A H3N2v,0
2011,Kentucky,Influenza A H7N2,0
2011,Louisiana,Influenza A H1N1v,0
2011,Louisiana,Influenza A H1N2v,0
2011,Louisiana,Influenza A H3N2v,0
2011,Louisiana,Influenza A H7N2,0
2011,Alabama,Influenza A H1N1v,0
2011,Alabama,Influenza A H1N2v,0
