name, group, connectedness, stress, infected?
name1,2,19,68,0
name2,2,20,68,0
name3,1,58,8,0
name4,3,3,3,0
name5,2,21,73,0
name6,3,63,13,0
name7,1,68,92,0
name8,2,38,22,0
name9,1,17,31,0
name10,2,84,22,0
name11,2,38,39,0
name12,1,92,36,0
name13,3,95,95,0
name14,3,84,89,0
name15,3,3,88,0
name16,1,51,63,0
name17,3,69,22,0
name18,3,9,93,0
name19,2,28,56,0
name20,2,28,45,0
name21,1,74,63,0
name22,2,91,77,0
name23,2,43,33,0
name24,2,79,78,0
name25,2,52,31,0
name26,1,22,30,0
name27,2,41,54,0
name28,1,44,40,0
name29,1,64,33,0
name30,3,9,38,0
name31,1,77,5,0
name32,2,20,90,0
name33,3,100,52,0
name34,3,40,47,0
name35,1,58,36,0
name36,3,74,47,0
name37,3,66,47,0
name38,3,78,18,0
name39,3,29,44,0
name40,3,85,22,0
name41,2,6,6,0
name42,3,49,100,0
name43,1,5,84,0
name44,2,51,78,0
name45,2,18,48,0
name46,3,98,76,0
name47,2,74,17,0
name48,2,59,26,0
name49,2,84,86,0
name50,2,89,43,0
name51,2,43,99,0
name52,3,30,6,0
name53,1,49,40,0
name54,1,54,27,0
name55,2,87,85,0
name56,3,68,77,0
name57,2,69,37,0
name58,3,81,100,0
name59,2,11,94,0
name60,2,99,37,0
name61,1,24,100,0
name62,2,15,21,0
name63,3,32,2,0
name64,2,50,20,0
name65,2,30,73,0
name66,2,64,7,0
name67,3,14,98,0
name68,3,20,6,0
name69,3,62,17,0
name70,2,61,38,0
name71,3,71,47,0
name72,3,64,100,0
name73,2,48,46,0
name74,3,39,88,0
name75,2,71,65,0
name76,3,81,7,0
name77,2,27,15,0
name78,2,63,57,0
name79,3,51,99,0
name80,2,96,99,0
name81,3,83,13,0
name82,1,63,45,0
name83,2,41,96,0
name84,2,43,1,0
name85,2,41,46,0
name86,1,24,46,0
name87,3,47,6,0
name88,1,95,88,0
name89,2,79,22,0
name90,3,63,85,0
name91,2,98,37,0
name92,2,17,93,0
name93,1,28,23,0
name94,2,61,41,0
name95,2,85,23,0
name96,2,54,36,0
name97,1,56,86,0
name98,1,82,79,0
name99,2,33,37,0
name100,2,99,39,0
name101,1,31,100,0
name102,2,15,18,0
name103,3,67,76,0
name104,3,96,93,0
name105,2,54,74,0
name106,3,5,23,0
name107,2,81,7,0
name108,1,100,78,0
name109,1,16,79,0
name110,3,76,36,0
name111,3,44,88,0
name112,3,82,83,0
name113,2,3,39,0
name114,1,34,59,0
name115,2,17,25,0
name116,2,36,98,0
name117,2,62,86,0
name118,2,33,73,0
name119,2,60,87,0
name120,2,78,43,0
name121,1,26,58,0
name122,2,3,93,0
name123,2,50,82,0
name124,1,41,53,0
name125,3,83,88,0
name126,2,73,4,0
name127,2,56,44,0
name128,2,42,60,0
name129,2,47,23,0
name130,3,50,9,0
name131,3,62,34,0
name132,1,85,36,0
name133,2,27,21,0
name134,2,63,79,0
name135,3,52,2,0
name136,2,91,5,0
name137,2,56,55,0
name138,3,37,11,0
name139,1,90,8,0
name140,3,11,4,0
name141,1,56,66,0
name142,2,50,21,0
name143,3,77,36,0
name144,1,67,96,0
name145,1,26,18,0
name146,2,54,28,0
name147,3,9,21,0
name148,3,15,42,0
name149,1,76,90,0
name150,1,52,12,0
name151,2,50,45,0
name152,1,29,24,0
name153,2,51,87,0
name154,3,38,80,0
name155,2,94,39,0
name156,1,97,92,0
name157,1,12,27,0
name158,2,61,83,0
name159,1,76,39,0
name160,1,63,73,0
name161,3,32,26,0
name162,3,91,90,0
name163,3,18,25,0
name164,1,41,19,0
name165,3,92,96,0
name166,2,43,50,0
name167,2,97,69,0
name168,3,80,79,0
name169,2,25,66,0
name170,3,87,97,0
name171,3,47,27,1
name172,1,26,74,0
name173,1,26,78,0
name174,2,25,90,0
name175,1,92,31,0
name176,3,71,73,0
name177,3,83,89,0
name178,1,38,19,0
name179,1,40,4,0
name180,1,11,38,0
name181,3,74,26,0
name182,2,90,27,0
name183,2,49,97,0
name184,1,52,80,0
name185,1,2,38,0
name186,3,6,15,0
name187,3,40,79,0
name188,3,40,76,0
name189,1,1,76,0
name190,2,70,95,0
name191,2,72,40,0
name192,2,61,62,0
name193,2,58,93,0
name194,1,40,23,0
name195,1,7,70,0
name196,3,2,64,0
name197,1,29,80,0
name198,2,5,26,0
name199,2,86,57,0
name200,1,78,80,0
name201,2,85,78,0
name202,2,62,16,0
name203,1,74,93,0
name204,1,57,65,0
name205,2,53,80,0
name206,1,18,51,1
name207,3,85,58,0
name208,2,66,2,0
name209,2,83,87,0
name210,1,18,82,0
name211,1,62,23,0
name212,2,58,37,0
name213,3,9,17,0
name214,2,20,90,0
name215,1,41,88,0
name216,3,5,77,0
name217,2,12,15,0
name218,1,5,30,0
name219,2,83,82,0
name220,2,72,94,0
name221,1,41,90,0
name222,2,78,1,0
name223,1,19,50,0
name224,1,78,79,0
name225,2,48,41,0
name226,2,10,77,0
name227,1,84,94,0
name228,1,13,57,0
name229,1,86,27,0
name230,1,89,50,0
name231,1,79,38,0
name232,2,91,11,0
name233,2,63,70,0
name234,3,3,32,0
name235,1,32,93,0
name236,1,10,68,0
name237,3,4,62,0
name238,1,76,17,0
name239,2,5,85,0
name240,2,6,38,0
name241,3,49,83,0
name242,2,51,50,0
name243,1,18,56,0
name244,1,39,41,0
name245,3,64,9,0
name246,1,94,29,0
name247,1,15,45,0
name248,2,6,68,0
name249,3,95,7,0
name250,3,20,21,0
name251,1,55,37,0
name252,3,81,84,0
name253,1,80,46,0
name254,2,68,87,0
name255,2,72,48,0
name256,2,85,96,0
name257,1,95,91,0
name258,3,46,74,0
name259,1,27,28,0
name260,1,2,94,0
name261,1,72,33,0
name262,2,82,100,0
name263,2,34,32,0
name264,1,37,1,0
name265,3,44,70,0
name266,2,21,30,0
name267,3,44,98,0
name268,2,99,38,0
name269,3,46,17,0
name270,1,12,50,0
name271,3,57,73,0
name272,1,59,48,0
name273,3,71,70,0
name274,1,79,6,0
name275,2,33,87,0
name276,2,30,14,0
name277,2,88,3,0
name278,2,8,93,0
name279,1,39,67,0
name280,1,45,10,0
name281,1,52,27,0
name282,3,54,9,0
name283,3,56,59,0
name284,2,43,53,0
name285,1,11,23,0
name286,2,98,62,0
name287,1,40,53,0
name288,1,1,37,0
name289,1,79,64,0
name290,3,57,25,0
name291,1,13,74,0
name292,3,96,98,0
name293,2,14,42,0
name294,3,12,23,0
name295,2,42,76,0
name296,3,73,88,0
name297,1,66,50,0
name298,1,64,52,0
name299,2,3,78,0
name300,2,43,98,0
name301,2,24,54,0
name302,2,76,25,0
name303,3,3,25,0
name304,1,76,40,0
name305,3,93,50,0
name306,1,34,100,0
name307,3,91,82,0
name308,1,64,99,0
name309,3,87,33,0
name310,3,26,32,0
name311,2,38,38,0
name312,1,99,68,0
name313,3,23,18,1
name314,3,28,76,0
name315,1,10,43,0
name316,3,21,81,0
name317,1,95,93,0
name318,2,96,61,0
name319,2,29,58,0
name320,1,66,27,0
name321,3,97,65,0
name322,3,22,15,0
name323,3,2,39,0
name324,3,83,70,0
name325,1,62,6,0
name326,3,37,42,0
name327,1,13,20,0
name328,3,2,77,0
name329,3,5,80,0
name330,1,73,40,0
name331,1,67,87,0
name332,3,57,47,0
name333,2,75,69,0
name334,2,95,16,0
name335,3,25,44,0
name336,2,37,97,0
name337,1,88,50,0
name338,1,15,15,0
