"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Mississippi,2016,29,27,0,0,0,0,0
States,Missouri,2016,29,241,0,0,0,0,0
States,Montana,2016,29,39,0,0,0,0,0
States,Nebraska,2016,29,28,0,1,3.57,0,3.57
States,Nevada,2016,29,X,X,X,X,X,X
States,New Hampshire,2016,29,X,X,X,X,X,X
States,New Jersey,2016,29,X,X,X,X,X,X
States,New Mexico,2016,29,67,0,0,0,0,0
States,New York,2016,29,671,0,3,0.45,0,0.45
States,North Carolina,2016,29,X,X,X,X,X,X
States,North Dakota,2016,29,X,X,X,X,X,X
States,Ohio,2016,29,232,0,0,0,0,0
States,Oklahoma,2016,29,90,0,0,0,0,0
States,Oregon,2016,29,66,0,0,0,0,0
States,Pennsylvania,2016,29,175,0,0,0,0,0
States,Rhode Island,2016,29,X,X,X,X,X,X
States,South Carolina,2016,29,109,0,2,1.83,0,1.83
States,South Dakota,2016,29,50,0,0,0,0,0
States,Tennessee,2016,29,29,0,0,0,0,0
States,Texas,2016,29,558,2,2,0.72,0.36,0.36
States,Utah,2016,29,302,0,0,0,0,0
States,Vermont,2016,29,X,X,X,X,X,X
States,Virginia,2016,29,121,0,0,0,0,0
States,Washington,2016,29,192,1,0,0.52,0.52,0
States,West Virginia,2016,29,185,0,0,0,0,0
States,Wisconsin,2016,29,212,0,0,0,0,0
States,Wyoming,2016,29,X,X,X,X,X,X
States,Puerto Rico,2016,29,0,0,0,0,0,0
States,Virgin Islands,2016,29,X,X,X,X,X,X
States,New York City,2016,29,X,X,X,X,X,X
States,Alabama,2016,30,52,0,0,0,0,0
States,Alaska,2016,30,X,X,X,X,X,X
States,Arizona,2016,30,35,0,0,0,0,0
States,Arkansas,2016,30,29,0,0,0,0,0
States,California,2016,30,433,2,1,0.69,0.46,0.23
States,Colorado,2016,30,140,0,0,0,0,0
States,Connecticut,2016,30,26,0,0,0,0,0
States,Delaware,2016,30,X,X,X,X,X,X
States,District of Columbia,2016,30,X,X,X,X,X,X
States,Florida,2016,30,X,X,X,X,X,X
States,Georgia,2016,30,166,0,0,0,0,0
States,Hawaii,2016,30,100,0,0,0,0,0
States,Idaho,2016,30,X,X,X,X,X,X
States,Illinois,2016,30,91,0,0,0,0,0
States,Indiana,2016,30,41,1,0,2.44,2.44,0
States,Iowa,2016,30,25,0,0,0,0,0
States,Kansas,2016,30,X,X,X,X,X,X
States,Kentucky,2016,30,148,2,0,1.35,1.35,0
States,Louisiana,2016,30,157,2,2,2.55,1.27,1.27
States,Maine,2016,30,X,X,X,X,X,X
States,Maryland,2016,30,12,0,0,0,0,0
States,Massachusetts,2016,30,73,0,0,0,0,0
States,Michigan,2016,30,126,0,0,0,0,0
States,Minnesota,2016,30,115,0,0,0,0,0
States,Mississippi,2016,30,35,0,0,0,0,0
States,Missouri,2016,30,269,0,0,0,0,0
States,Montana,2016,30,45,0,0,0,0,0
States,Nebraska,2016,30,21,0,0,0,0,0
States,Nevada,2016,30,X,X,X,X,X,X
States,New Hampshire,2016,30,X,X,X,X,X,X
States,New Jersey,2016,30,X,X,X,X,X,X
States,New Mexico,2016,30,54,0,0,0,0,0
States,New York,2016,30,675,1,0,0.15,0.15,0
States,North Carolina,2016,30,X,X,X,X,X,X
States,North Dakota,2016,30,X,X,X,X,X,X
States,Ohio,2016,30,256,0,0,0,0,0
States,Oklahoma,2016,30,84,0,0,0,0,0
States,Oregon,2016,30,65,0,0,0,0,0
States,Pennsylvania,2016,30,172,0,0,0,0,0
States,Rhode Island,2016,30,X,X,X,X,X,X
States,South Carolina,2016,30,120,0,0,0,0,0
States,South Dakota,2016,30,59,0,0,0,0,0
States,Tennessee,2016,30,30,0,0,0,0,0
States,Texas,2016,30,560,2,5,1.25,0.36,0.89
States,Utah,2016,30,263,0,0,0,0,0
States,Vermont,2016,30,X,X,X,X,X,X
States,Virginia,2016,30,120,0,0,0,0,0
States,Washington,2016,30,192,1,1,1.04,0.52,0.52
States,West Virginia,2016,30,162,0,0,0,0,0
States,Wisconsin,2016,30,180,1,0,0.56,0.56,0
States,Wyoming,2016,30,X,X,X,X,X,X
States,Puerto Rico,2016,30,0,0,0,0,0,0
States,Virgin Islands,2016,30,X,X,X,X,X,X
States,New York City,2016,30,X,X,X,X,X,X
States,Alabama,2016,31,53,0,0,0,0,0
States,Alaska,2016,31,X,X,X,X,X,X
States,Arizona,2016,31,23,0,0,0,0,0
States,Arkansas,2016,31,25,0,0,0,0,0
States,California,2016,31,452,1,0,0.22,0.22,0
States,Colorado,2016,31,138,0,0,0,0,0
States,Connecticut,2016,31,123,0,0,0,0,0
States,Delaware,2016,31,X,X,X,X,X,X
States,District of Columbia,2016,31,X,X,X,X,X,X
States,Florida,2016,31,X,X,X,X,X,X
States,Georgia,2016,31,178,1,2,1.69,0.56,1.12
States,Hawaii,2016,31,86,1,1,2.33,1.16,1.16
States,Idaho,2016,31,X,X,X,X,X,X
States,Illinois,2016,31,105,0,1,0.95,0,0.95
States,Indiana,2016,31,55,0,0,0,0,0
States,Iowa,2016,31,22,0,0,0,0,0
States,Kansas,2016,31,X,X,X,X,X,X
States,Kentucky,2016,31,135,1,0,0.74,0.74,0
States,Louisiana,2016,31,159,0,1,0.63,0,0.63
States,Maine,2016,31,X,X,X,X,X,X
States,Maryland,2016,31,X,X,X,X,X,X
States,Massachusetts,2016,31,67,0,1,1.49,0,1.49
States,Michigan,2016,31,115,0,0,0,0,0
States,Minnesota,2016,31,82,3,0,3.66,3.66,0
States,Mississippi,2016,31,21,0,0,0,0,0
States,Missouri,2016,31,269,0,0,0,0,0
States,Montana,2016,31,47,0,0,0,0,0
States,Nebraska,2016,31,23,0,0,0,0,0
States,Nevada,2016,31,X,X,X,X,X,X
States,New Hampshire,2016,31,X,X,X,X,X,X
States,New Jersey,2016,31,X,X,X,X,X,X
States,New Mexico,2016,31,49,0,0,0,0,0
States,New York,2016,31,627,0,0,0,0,0
States,North Carolina,2016,31,11,0,0,0,0,0
States,North Dakota,2016,31,X,X,X,X,X,X
States,Ohio,2016,31,264,2,0,0.76,0.76,0
States,Oklahoma,2016,31,X,X,X,X,X,X
States,Oregon,2016,31,60,0,0,0,0,0
States,Pennsylvania,2016,31,166,1,0,0.6,0.6,0
States,Rhode Island,2016,31,X,X,X,X,X,X
States,South Carolina,2016,31,118,1,0,0.85,0.85,0
States,South Dakota,2016,31,74,0,0,0,0,0
States,Tennessee,2016,31,30,0,0,0,0,0
States,Texas,2016,31,555,5,5,1.8,0.9,0.9
States,Utah,2016,31,286,4,0,1.4,1.4,0
States,Vermont,2016,31,X,X,X,X,X,X
States,Virginia,2016,31,113,0,0,0,0,0
States,Washington,2016,31,167,1,0,0.6,0.6,0
States,West Virginia,2016,31,159,0,0,0,0,0
States,Wisconsin,2016,31,190,2,0,1.05,1.05,0
States,Wyoming,2016,31,X,X,X,X,X,X
States,Puerto Rico,2016,31,0,0,0,0,0,0
States,Virgin Islands,2016,31,X,X,X,X,X,X
States,New York City,2016,31,X,X,X,X,X,X
States,Alabama,2016,32,55,0,0,0,0,0
States,Alaska,2016,32,X,X,X,X,X,X
States,Arizona,2016,32,27,0,0,0,0,0
States,Arkansas,2016,32,24,0,0,0,0,0
States,California,2016,32,351,0,1,0.28,0,0.28
States,Colorado,2016,32,148,0,0,0,0,0
States,Connecticut,2016,32,101,0,0,0,0,0
States,Delaware,2016,32,X,X,X,X,X,X
States,District of Columbia,2016,32,X,X,X,X,X,X
States,Florida,2016,32,X,X,X,X,X,X
States,Georgia,2016,32,200,1,0,0.5,0.5,0
States,Hawaii,2016,32,106,1,4,4.72,0.94,3.77
States,Idaho,2016,32,X,X,X,X,X,X
States,Illinois,2016,32,110,0,0,0,0,0
States,Indiana,2016,32,46,0,0,0,0,0
States,Iowa,2016,32,16,0,0,0,0,0
States,Kansas,2016,32,X,X,X,X,X,X
States,Kentucky,2016,32,165,2,0,1.21,1.21,0
States,Louisiana,2016,32,146,1,1,1.37,0.68,0.68
States,Maine,2016,32,X,X,X,X,X,X
States,Maryland,2016,32,X,X,X,X,X,X
States,Massachusetts,2016,32,65,0,0,0,0,0
States,Michigan,2016,32,111,1,0,0.9,0.9,0
States,Minnesota,2016,32,137,0,0,0,0,0
States,Mississippi,2016,32,19,0,0,0,0,0
States,Missouri,2016,32,249,0,0,0,0,0
States,Montana,2016,32,41,0,0,0,0,0
States,Nebraska,2016,32,29,0,0,0,0,0
States,Nevada,2016,32,X,X,X,X,X,X
States,New Hampshire,2016,32,X,X,X,X,X,X
States,New Jersey,2016,32,X,X,X,X,X,X
States,New Mexico,2016,32,62,0,0,0,0,0
States,New York,2016,32,682,0,0,0,0,0
States,North Carolina,2016,32,11,0,2,18.18,0,18.18
States,North Dakota,2016,32,X,X,X,X,X,X
States,Ohio,2016,32,287,1,0,0.35,0.35,0
States,Oklahoma,2016,32,71,0,0,0,0,0
States,Oregon,2016,32,60,0,0,0,0,0
States,Pennsylvania,2016,32,161,0,0,0,0,0
States,Rhode Island,2016,32,X,X,X,X,X,X
States,South Carolina,2016,32,123,0,0,0,0,0
States,South Dakota,2016,32,74,0,0,0,0,0
States,Tennessee,2016,32,32,1,1,6.25,3.13,3.13
States,Texas,2016,32,494,3,3,1.21,0.61,0.61
States,Utah,2016,32,245,1,0,0.41,0.41,0
States,Vermont,2016,32,10,0,0,0,0,0
States,Virginia,2016,32,118,0,0,0,0,0
States,Washington,2016,32,193,2,0,1.04,1.04,0
States,West Virginia,2016,32,167,0,0,0,0,0
States,Wisconsin,2016,32,207,1,0,0.48,0.48,0
States,Wyoming,2016,32,X,X,X,X,X,X
States,Puerto Rico,2016,32,0,0,0,0,0,0
States,Virgin Islands,2016,32,X,X,X,X,X,X
States,New York City,2016,32,X,X,X,X,X,X
States,Alabama,2016,33,61,0,0,0,0,0
States,Alaska,2016,33,X,X,X,X,X,X
States,Arizona,2016,33,40,0,0,0,0,0
States,Arkansas,2016,33,20,0,0,0,0,0
States,California,2016,33,475,0,1,0.21,0,0.21
States,Colorado,2016,33,163,0,0,0,0,0
States,Connecticut,2016,33,123,1,0,0.81,0.81,0
States,Delaware,2016,33,X,X,X,X,X,X
States,District of Columbia,2016,33,X,X,X,X,X,X
States,Florida,2016,33,X,X,X,X,X,X
States,Georgia,2016,33,303,0,1,0.33,0,0.33
States,Hawaii,2016,33,130,0,0,0,0,0
States,Idaho,2016,33,X,X,X,X,X,X
States,Illinois,2016,33,75,0,0,0,0,0
States,Indiana,2016,33,61,0,0,0,0,0
States,Iowa,2016,33,19,0,0,0,0,0
States,Kansas,2016,33,X,X,X,X,X,X
States,Kentucky,2016,33,170,1,0,0.59,0.59,0
States,Louisiana,2016,33,179,0,2,1.12,0,1.12
States,Maine,2016,33,X,X,X,X,X,X
States,Maryland,2016,33,11,1,0,9.09,9.09,0
States,Massachusetts,2016,33,58,0,0,0,0,0
States,Michigan,2016,33,87,0,0,0,0,0
States,Minnesota,2016,33,108,0,0,0,0,0
States,Mississippi,2016,33,12,0,0,0,0,0
States,Missouri,2016,33,308,0,0,0,0,0
States,Montana,2016,33,54,0,0,0,0,0
States,Nebraska,2016,33,19,0,0,0,0,0
States,Nevada,2016,33,X,X,X,X,X,X
States,New Hampshire,2016,33,X,X,X,X,X,X
States,New Jersey,2016,33,X,X,X,X,X,X
States,New Mexico,2016,33,33,0,0,0,0,0
States,New York,2016,33,648,5,0,0.77,0.77,0
States,North Carolina,2016,33,12,0,0,0,0,0
States,North Dakota,2016,33,X,X,X,X,X,X
States,Ohio,2016,33,277,5,0,1.81,1.81,0
States,Oklahoma,2016,33,83,0,0,0,0,0
States,Oregon,2016,33,47,0,0,0,0,0
States,Pennsylvania,2016,33,169,0,0,0,0,0
States,Rhode Island,2016,33,X,X,X,X,X,X
States,South Carolina,2016,33,120,1,0,0.83,0.83,0
States,South Dakota,2016,33,65,0,0,0,0,0
States,Tennessee,2016,33,41,0,0,0,0,0
States,Texas,2016,33,487,2,4,1.23,0.41,0.82
States,Utah,2016,33,280,0,0,0,0,0
States,Vermont,2016,33,X,X,X,X,X,X
States,Virginia,2016,33,111,0,0,0,0,0
States,Washington,2016,33,184,0,0,0,0,0
States,West Virginia,2016,33,147,0,0,0,0,0
States,Wisconsin,2016,33,189,1,0,0.53,0.53,0
States,Wyoming,2016,33,X,X,X,X,X,X
States,Puerto Rico,2016,33,0,0,0,0,0,0
States,Virgin Islands,2016,33,X,X,X,X,X,X
States,New York City,2016,33,X,X,X,X,X,X
States,Alabama,2016,34,39,0,0,0,0,0
States,Alaska,2016,34,X,X,X,X,X,X
States,Arizona,2016,34,34,0,0,0,0,0
States,Arkansas,2016,34,25,0,0,0,0,0
States,California,2016,34,382,3,1,1.05,0.79,0.26
States,Colorado,2016,34,180,0,0,0,0,0
States,Connecticut,2016,34,118,0,0,0,0,0
States,Delaware,2016,34,X,X,X,X,X,X
States,District of Columbia,2016,34,X,X,X,X,X,X
States,Florida,2016,34,X,X,X,X,X,X
States,Georgia,2016,34,308,3,0,0.97,0.97,0
States,Hawaii,2016,34,104,2,0,1.92,1.92,0
States,Idaho,2016,34,X,X,X,X,X,X
States,Illinois,2016,34,106,0,0,0,0,0
States,Indiana,2016,34,62,0,0,0,0,0
States,Iowa,2016,34,29,0,0,0,0,0
States,Kansas,2016,34,X,X,X,X,X,X
States,Kentucky,2016,34,206,1,0,0.49,0.49,0
States,Louisiana,2016,34,191,1,0,0.52,0.52,0
States,Maine,2016,34,X,X,X,X,X,X
States,Maryland,2016,34,X,X,X,X,X,X
States,Massachusetts,2016,34,48,0,0,0,0,0
States,Michigan,2016,34,107,1,0,0.93,0.93,0
States,Minnesota,2016,34,91,0,0,0,0,0
States,Mississippi,2016,34,26,0,0,0,0,0
States,Missouri,2016,34,319,0,0,0,0,0
States,Montana,2016,34,42,0,0,0,0,0
States,Nebraska,2016,34,25,0,0,0,0,0
States,Nevada,2016,34,X,X,X,X,X,X
States,New Hampshire,2016,34,X,X,X,X,X,X
States,New Jersey,2016,34,X,X,X,X,X,X
States,New Mexico,2016,34,69,0,0,0,0,0
States,New York,2016,34,620,0,1,0.16,0,0.16
States,North Carolina,2016,34,18,1,0,5.56,5.56,0
States,North Dakota,2016,34,X,X,X,X,X,X
States,Ohio,2016,34,343,1,1,0.58,0.29,0.29
States,Oklahoma,2016,34,83,0,0,0,0,0
States,Oregon,2016,34,45,0,0,0,0,0
States,Pennsylvania,2016,34,115,0,0,0,0,0
States,Rhode Island,2016,34,X,X,X,X,X,X
States,South Carolina,2016,34,126,1,1,1.59,0.79,0.79
States,South Dakota,2016,34,66,0,0,0,0,0
States,Tennessee,2016,34,53,0,1,1.89,0,1.89
States,Texas,2016,34,602,30,4,5.65,4.98,0.66
States,Utah,2016,34,292,1,0,0.34,0.34,0
States,Vermont,2016,34,X,X,X,X,X,X
States,Virginia,2016,34,98,1,0,1.02,1.02,0
States,Washington,2016,34,196,2,0,1.02,1.02,0
States,West Virginia,2016,34,185,1,0,0.54,0.54,0
States,Wisconsin,2016,34,221,0,0,0,0,0
States,Wyoming,2016,34,X,X,X,X,X,X
States,Puerto Rico,2016,34,0,0,0,0,0,0
States,Virgin Islands,2016,34,X,X,X,X,X,X
States,New York City,2016,34,X,X,X,X,X,X
States,Alabama,2016,35,51,0,0,0,0,0
States,Alaska,2016,35,X,X,X,X,X,X
States,Arizona,2016,35,75,0,0,0,0,0
States,Arkansas,2016,35,48,0,0,0,0,0
States,California,2016,35,434,3,0,0.69,0.69,0
States,Colorado,2016,35,219,0,0,0,0,0
States,Connecticut,2016,35,106,1,0,0.94,0.94,0
States,Delaware,2016,35,X,X,X,X,X,X
States,District of Columbia,2016,35,X,X,X,X,X,X
States,Florida,2016,35,X,X,X,X,X,X
States,Georgia,2016,35,330,0,3,0.91,0,0.91
States,Hawaii,2016,35,166,6,0,3.61,3.61,0
States,Idaho,2016,35,X,X,X,X,X,X
States,Illinois,2016,35,111,2,0,1.8,1.8,0
States,Indiana,2016,35,44,1,0,2.27,2.27,0
States,Iowa,2016,35,23,0,0,0,0,0
States,Kansas,2016,35,X,X,X,X,X,X
States,Kentucky,2016,35,222,0,0,0,0,0
States,Louisiana,2016,35,213,0,0,0,0,0
States,Maine,2016,35,X,X,X,X,X,X
States,Maryland,2016,35,11,0,0,0,0,0
States,Massachusetts,2016,35,59,0,0,0,0,0
States,Michigan,2016,35,113,1,0,0.88,0.88,0
States,Minnesota,2016,35,116,0,0,0,0,0
States,Mississippi,2016,35,42,0,0,0,0,0
States,Missouri,2016,35,330,0,0,0,0,0
States,Montana,2016,35,52,0,0,0,0,0
States,Nebraska,2016,35,30,0,0,0,0,0
States,Nevada,2016,35,X,X,X,X,X,X
States,New Hampshire,2016,35,X,X,X,X,X,X
States,New Jersey,2016,35,X,X,X,X,X,X
States,New Mexico,2016,35,95,0,0,0,0,0
States,New York,2016,35,634,2,0,0.32,0.32,0
States,North Carolina,2016,35,10,0,0,0,0,0
States,North Dakota,2016,35,X,X,X,X,X,X
States,Ohio,2016,35,320,1,2,0.94,0.31,0.63
States,Oklahoma,2016,35,100,0,0,0,0,0
States,Oregon,2016,35,55,1,0,1.82,1.82,0
States,Pennsylvania,2016,35,173,1,1,1.16,0.58,0.58
States,Rhode Island,2016,35,X,X,X,X,X,X
States,South Carolina,2016,35,128,0,1,0.78,0,0.78
States,South Dakota,2016,35,56,0,0,0,0,0
States,Tennessee,2016,35,82,1,2,3.66,1.22,2.44
States,Texas,2016,35,874,45,12,6.52,5.15,1.37
States,Utah,2016,35,334,3,0,0.9,0.9,0
States,Vermont,2016,35,10,0,0,0,0,0
States,Virginia,2016,35,109,3,0,2.75,2.75,0
States,Washington,2016,35,187,1,0,0.53,0.53,0
States,West Virginia,2016,35,198,0,0,0,0,0
States,Wisconsin,2016,35,209,0,0,0,0,0
States,Wyoming,2016,35,X,X,X,X,X,X
States,Puerto Rico,2016,35,0,0,0,0,0,0
States,Virgin Islands,2016,35,X,X,X,X,X,X
States,New York City,2016,35,X,X,X,X,X,X
States,Alabama,2016,36,81,0,0,0,0,0
States,Alaska,2016,36,X,X,X,X,X,X
States,Arizona,2016,36,39,0,0,0,0,0
States,Arkansas,2016,36,42,0,0,0,0,0
States,California,2016,36,455,5,1,1.32,1.1,0.22
States,Colorado,2016,36,256,0,0,0,0,0
States,Connecticut,2016,36,133,0,0,0,0,0
States,Delaware,2016,36,X,X,X,X,X,X
States,District of Columbia,2016,36,X,X,X,X,X,X
States,Florida,2016,36,X,X,X,X,X,X
States,Georgia,2016,36,349,2,4,1.72,0.57,1.15
States,Hawaii,2016,36,150,0,0,0,0,0
States,Idaho,2016,36,X,X,X,X,X,X
States,Illinois,2016,36,131,0,0,0,0,0
States,Indiana,2016,36,89,1,0,1.12,1.12,0
States,Iowa,2016,36,23,0,0,0,0,0
States,Kansas,2016,36,17,0,0,0,0,0
States,Kentucky,2016,36,204,0,0,0,0,0
States,Louisiana,2016,36,227,3,1,1.76,1.32,0.44
States,Maine,2016,36,X,X,X,X,X,X
States,Maryland,2016,36,17,0,0,0,0,0
States,Massachusetts,2016,36,77,0,0,0,0,0
States,Michigan,2016,36,116,0,0,0,0,0
States,Minnesota,2016,36,141,1,0,0.71,0.71,0
States,Mississippi,2016,36,42,0,0,0,0,0
States,Missouri,2016,36,379,1,0,0.26,0.26,0
States,Montana,2016,36,56,0,0,0,0,0
States,Nebraska,2016,36,27,1,0,3.7,3.7,0
States,Nevada,2016,36,X,X,X,X,X,X
States,New Hampshire,2016,36,X,X,X,X,X,X
States,New Jersey,2016,36,X,X,X,X,X,X
States,New Mexico,2016,36,124,1,0,0.81,0.81,0
States,New York,2016,36,633,0,1,0.16,0,0.16
States,North Carolina,2016,36,37,1,0,2.7,2.7,0
States,North Dakota,2016,36,X,X,X,X,X,X
States,Ohio,2016,36,330,0,1,0.3,0,0.3
States,Oklahoma,2016,36,105,0,0,0,0,0
States,Oregon,2016,36,63,0,0,0,0,0
States,Pennsylvania,2016,36,177,0,1,0.56,0,0.56
States,Rhode Island,2016,36,X,X,X,X,X,X
States,South Carolina,2016,36,134,0,1,0.75,0,0.75
States,South Dakota,2016,36,83,0,0,0,0,0
States,Tennessee,2016,36,77,0,0,0,0,0
States,Texas,2016,36,912,17,16,3.62,1.86,1.75
States,Utah,2016,36,307,2,0,0.65,0.65,0
States,Vermont,2016,36,14,0,0,0,0,0
States,Virginia,2016,36,119,1,0,0.84,0.84,0
States,Washington,2016,36,173,2,0,1.16,1.16,0
States,West Virginia,2016,36,265,0,0,0,0,0
States,Wisconsin,2016,36,224,1,0,0.45,0.45,0
States,Wyoming,2016,36,X,X,X,X,X,X
States,Puerto Rico,2016,36,0,0,0,0,0,0
States,Virgin Islands,2016,36,X,X,X,X,X,X
States,New York City,2016,36,X,X,X,X,X,X
States,Alabama,2016,37,83,1,0,1.2,1.2,0
States,Alaska,2016,37,X,X,X,X,X,X
States,Arizona,2016,37,39,0,0,0,0,0
States,Arkansas,2016,37,43,0,0,0,0,0
States,California,2016,37,569,3,0,0.53,0.53,0
States,Colorado,2016,37,250,1,0,0.4,0.4,0
States,Connecticut,2016,37,166,0,0,0,0,0
States,Delaware,2016,37,10,0,0,0,0,0
States,District of Columbia,2016,37,X,X,X,X,X,X
States,Florida,2016,37,X,X,X,X,X,X
States,Georgia,2016,37,360,6,1,1.94,1.67,0.28
States,Hawaii,2016,37,124,5,1,4.84,4.03,0.81
States,Idaho,2016,37,X,X,X,X,X,X
States,Illinois,2016,37,147,0,1,0.68,0,0.68
States,Indiana,2016,37,91,0,1,1.1,0,1.1
States,Iowa,2016,37,43,0,0,0,0,0
States,Kansas,2016,37,23,0,0,0,0,0
States,Kentucky,2016,37,231,4,0,1.73,1.73,0
States,Louisiana,2016,37,261,0,1,0.38,0,0.38
States,Maine,2016,37,X,X,X,X,X,X
States,Maryland,2016,37,11,1,0,9.09,9.09,0
States,Massachusetts,2016,37,102,0,0,0,0,0
States,Michigan,2016,37,195,1,0,0.51,0.51,0
States,Minnesota,2016,37,139,0,0,0,0,0
States,Mississippi,2016,37,46,0,0,0,0,0
States,Missouri,2016,37,344,0,0,0,0,0
States,Montana,2016,37,54,0,0,0,0,0
States,Nebraska,2016,37,27,0,0,0,0,0
States,Nevada,2016,37,X,X,X,X,X,X
States,New Hampshire,2016,37,12,0,0,0,0,0
States,New Jersey,2016,37,X,X,X,X,X,X
States,New Mexico,2016,37,124,0,0,0,0,0
States,New York,2016,37,823,5,2,0.85,0.61,0.24
States,North Carolina,2016,37,85,1,0,1.18,1.18,0
States,North Dakota,2016,37,X,X,X,X,X,X
States,Ohio,2016,37,424,3,2,1.18,0.71,0.47
States,Oklahoma,2016,37,128,0,0,0,0,0
States,Oregon,2016,37,74,1,0,1.35,1.35,0
States,Pennsylvania,2016,37,178,0,0,0,0,0
States,Rhode Island,2016,37,X,X,X,X,X,X
States,South Carolina,2016,37,147,0,1,0.68,0,0.68
States,South Dakota,2016,37,92,0,0,0,0,0
States,Tennessee,2016,37,90,1,2,3.33,1.11,2.22
States,Texas,2016,37,971,10,14,2.47,1.03,1.44
States,Utah,2016,37,398,2,0,0.5,0.5,0
States,Vermont,2016,37,23,0,0,0,0,0
States,Virginia,2016,37,135,0,0,0,0,0
States,Washington,2016,37,268,4,0,1.49,1.49,0
States,West Virginia,2016,37,186,0,0,0,0,0
States,Wisconsin,2016,37,277,4,0,1.44,1.44,0
States,Wyoming,2016,37,X,X,X,X,X,X
States,Puerto Rico,2016,37,0,0,0,0,0,0
States,Virgin Islands,2016,37,X,X,X,X,X,X
States,New York City,2016,37,X,X,X,X,X,X
States,Alabama,2016,38,77,1,0,1.3,1.3,0
States,Alaska,2016,38,X,X,X,X,X,X
States,Arizona,2016,38,35,0,0,0,0,0
States,Arkansas,2016,38,37,0,1,2.7,0,2.7
States,California,2016,38,564,9,4,2.3,1.6,0.71
States,Colorado,2016,38,274,1,0,0.36,0.36,0
States,Connecticut,2016,38,199,2,0,1.01,1.01,0
States,Delaware,2016,38,16,0,0,0,0,0
States,District of Columbia,2016,38,X,X,X,X,X,X
States,Florida,2016,38,X,X,X,X,X,X
States,Georgia,2016,38,387,5,0,1.29,1.29,0
States,Hawaii,2016,38,192,6,0,3.13,3.13,0
States,Idaho,2016,38,X,X,X,X,X,X
States,Illinois,2016,38,143,1,1,1.4,0.7,0.7
States,Indiana,2016,38,91,1,0,1.1,1.1,0
States,Iowa,2016,38,44,1,0,2.27,2.27,0
States,Kansas,2016,38,24,0,0,0,0,0
States,Kentucky,2016,38,254,0,0,0,0,0
States,Louisiana,2016,38,258,2,0,0.78,0.78,0
States,Maine,2016,38,X,X,X,X,X,X
States,Maryland,2016,38,15,0,0,0,0,0
States,Massachusetts,2016,38,150,0,0,0,0,0
States,Michigan,2016,38,234,1,0,0.43,0.43,0
States,Minnesota,2016,38,185,2,1,1.62,1.08,0.54
States,Mississippi,2016,38,55,1,1,3.64,1.82,1.82
States,Missouri,2016,38,381,0,0,0,0,0
States,Montana,2016,38,53,0,0,0,0,0
States,Nebraska,2016,38,17,0,0,0,0,0
States,Nevada,2016,38,X,X,X,X,X,X
States,New Hampshire,2016,38,11,0,0,0,0,0
States,New Jersey,2016,38,X,X,X,X,X,X
States,New Mexico,2016,38,118,1,0,0.85,0.85,0
States,New York,2016,38,890,1,1,0.22,0.11,0.11
States,North Carolina,2016,38,120,1,1,1.67,0.83,0.83
States,North Dakota,2016,38,X,X,X,X,X,X
States,Ohio,2016,38,411,1,1,0.49,0.24,0.24
States,Oklahoma,2016,38,114,0,0,0,0,0
States,Oregon,2016,38,110,2,0,1.82,1.82,0
States,Pennsylvania,2016,38,217,1,0,0.46,0.46,0
States,Rhode Island,2016,38,X,X,X,X,X,X
States,South Carolina,2016,38,144,1,1,1.39,0.69,0.69
States,South Dakota,2016,38,111,1,0,0.9,0.9,0
States,Tennessee,2016,38,118,0,1,0.85,0,0.85
States,Texas,2016,38,1059,10,18,2.64,0.94,1.7
States,Utah,2016,38,370,2,0,0.54,0.54,0
States,Vermont,2016,38,28,0,0,0,0,0
States,Virginia,2016,38,136,1,0,0.74,0.74,0
States,Washington,2016,38,332,9,0,2.71,2.71,0
States,West Virginia,2016,38,226,1,0,0.44,0.44,0
States,Wisconsin,2016,38,264,3,2,1.89,1.14,0.76
States,Wyoming,2016,38,X,X,X,X,X,X
States,Puerto Rico,2016,38,0,0,0,0,0,0
States,Virgin Islands,2016,38,X,X,X,X,X,X
States,New York City,2016,38,X,X,X,X,X,X
States,Alabama,2016,39,100,1,0,1,1,0
States,Alaska,2016,39,X,X,X,X,X,X
States,Arizona,2016,39,43,0,0,0,0,0
States,Arkansas,2016,39,46,0,0,0,0,0
States,California,2016,39,624,4,2,0.96,0.64,0.32
States,Colorado,2016,39,246,2,0,0.81,0.81,0
States,Connecticut,2016,39,230,1,0,0.43,0.43,0
States,Delaware,2016,39,15,0,1,6.67,0,6.67
States,District of Columbia,2016,39,X,X,X,X,X,X
States,Florida,2016,39,X,X,X,X,X,X
States,Georgia,2016,39,495,1,1,0.4,0.2,0.2
States,Hawaii,2016,39,230,1,2,1.3,0.43,0.87
States,Idaho,2016,39,X,X,X,X,X,X
States,Illinois,2016,39,173,0,1,0.58,0,0.58
States,Indiana,2016,39,84,0,0,0,0,0
States,Iowa,2016,39,49,0,0,0,0,0
States,Kansas,2016,39,39,0,0,0,0,0
States,Kentucky,2016,39,265,0,0,0,0,0
